path,label,name,prediction
C:/Users/tuana/Project_SLC/alldata/val/0/im 003260.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003261.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003262.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003263.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003264.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003265.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003266.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003267.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003268.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003269.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003270.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003271.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003272.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003273.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003274.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003275.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003276.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003277.jpg,0,0,14
C:/Users/tuana/Project_SLC/alldata/val/0/im 003278.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003279.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003280.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003281.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003282.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003283.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003284.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003285.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003286.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003287.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003288.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003289.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003290.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003291.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003292.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003293.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003294.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003295.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003296.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003297.jpg,0,0,26
C:/Users/tuana/Project_SLC/alldata/val/0/im 003298.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003299.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003300.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003301.jpg,0,0,0
C:/Users/tuana/Project_SLC/alldata/val/0/im 003302.jpg,0,0,0
